glibc 2.42+r17+gd7274d718e6f-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glslang 1:1.4.321.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-desktop 1:44.3-1
gnome-desktop-common 1:44.3-1
gnome-keyring 1:48.0-1
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnutls 3.8.10-1
go 2:1.24.6-1
gobject-introspection 1.84.0-2
gobject-introspection-runtime 1.84.0-2
gparted 1.7.0-1
gperftools 2.17-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
graphene 1.10.8-2
graphite 1:1.3.14-5
grep 3.12-2
grim 1.5.0-2
groff 1.23.0-7
grub 2:2.12.r292.g73d1c959-1
gruvbox-material-icon-theme-git r25.bb306ae97-1
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-5
gsm 1.0.22-2
gspell 1.14.0-2
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-libav 1.26.5-1
gst-plugin-pipewire 1:1.4.7-1
gst-plugins-bad 1.26.5-1
gst-plugins-bad-libs 1.26.5-1
gst-plugins-base 1.26.5-1
gst-plugins-base-libs 1.26.5-1
gst-plugins-ugly 1.26.5-1
gstreamer 1.26.5-1
gtest 1.17.0-1
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.18.6-1
gtk2 2.24.33-5
gtk3 1:3.24.50-1
gtk4 1:4.18.6-1
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
guile 3.0.10-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gutenprint 5.3.5-1
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-smb 1.57.2-4
gzip 1.14-2
harfbuzz 11.4.4-1
harfbuzz-icu 11.4.4-1
haskell-aeson 2.1.2.1-134
haskell-aeson-pretty 0.8.10-94
haskell-ansi-terminal 1.0.2-60
haskell-ansi-terminal-types 0.11.5-100
haskell-appar 0.1.8-15
haskell-asn1-encoding 0.9.6-283
haskell-asn1-parse 0.9.5-282
haskell-asn1-types 0.3.4-261
haskell-assoc 1.1.1-39
haskell-async 2.2.5-159
haskell-attoparsec 0.14.4-127
haskell-attoparsec-aeson 2.1.0.0-118
haskell-auto-update 0.1.6-401
haskell-base-compat 0.12.3-1
haskell-base-compat-batteries 0.12.3-52
haskell-base-orphans 0.9.2-25
haskell-base-unicode-symbols 0.2.4.2-15
haskell-base16-bytestring 1.0.2.0-132
haskell-base64-bytestring 1.2.1.0-174
haskell-basement 0.0.16-3
haskell-bifunctors 5.6.2-10
haskell-bitvec 1.1.4.0-20
haskell-blaze-builder 0.4.3-18
haskell-blaze-html 0.9.2.0-53
haskell-blaze-markup 0.8.3.0-63
haskell-boring 0.2.2-1
haskell-bsb-http-chunked 0.0.0.4-447
haskell-byteorder 1.0.4-26
haskell-call-stack 0.4.0-286
haskell-case-insensitive 1.2.1.0-276
haskell-cassava 0.5.4.0-21
haskell-cborg 0.2.10.0-30
haskell-cereal 0.5.8.3-3
haskell-citeproc 0.8.1.1-20
haskell-cmdargs 0.10.22-3
haskell-colour 2.3.6-310
haskell-commonmark 0.2.6-7
haskell-commonmark-extensions 0.2.5.4-5
haskell-commonmark-pandoc 0.2.2.2-8
haskell-comonad 5.0.9-73
haskell-conduit 1.3.6.1-75
haskell-conduit-extra 1.3.8-17
haskell-constraints 0.14-9
haskell-contravariant 1.5.5-5
haskell-cookie 0.4.6-4
haskell-crypton 1.0.2-10
haskell-crypton-connection 0.4.3-3
haskell-crypton-x509 1.7.7-15
haskell-crypton-x509-store 1.6.10-25
haskell-crypton-x509-system 1.6.7-85
haskell-crypton-x509-validation 1.6.13-39
haskell-data-default 0.7.1.2-17
haskell-data-default-class 0.1.2.1-1
haskell-data-default-instances-containers 0.1.0.3-2
haskell-data-default-instances-dlist 0.0.1.2-61
haskell-data-default-instances-old-locale 0.0.1.1-2
haskell-data-fix 0.3.4-43
haskell-dec 0.0.6-1
haskell-diff 0.4.1-127
haskell-digest 0.0.2.0-1
haskell-distributive 0.6.2.1-291
haskell-djot 0.1.1.3-54
haskell-dlist 1.0-311
haskell-doclayout 0.4.0.1-86
haskell-doctemplates 0.11.0.1-19
haskell-easy-file 0.2.5-73
haskell-emojis 0.1.4.1-34
haskell-erf 2.0.0.0-26
haskell-fast-logger 3.2.3-17
haskell-fgl 5.8.3.0-52
haskell-file-embed 0.0.16.0-1
haskell-foldable1-classes-compat 0.1.1-20
haskell-generically 0.1.1-40
haskell-glob 0.10.2-142
haskell-gridtables 0.1.0.0-105
haskell-haddock-library 1.11.0-122
haskell-half 0.3.3-19
haskell-hashable 1.4.4.0-141
haskell-hourglass 0.2.12-298
haskell-hslua 2.3.0-141
haskell-hslua-aeson 2.3.1-7
haskell-hslua-classes 2.3.0-134
haskell-hslua-core 2.3.1-126
haskell-hslua-list 1.1.3-64
haskell-hslua-marshalling 2.3.1-86
haskell-hslua-module-doclayout 1.1.1-42
haskell-hslua-module-path 1.1.1-43
haskell-hslua-module-system 1.1.1-49
haskell-hslua-module-text 1.1.0.1-112
haskell-hslua-module-version 1.1.1-85
haskell-hslua-module-zip 1.1.2-18
haskell-hslua-objectorientation 2.3.0-130
haskell-hslua-packaging 2.3.1-95
haskell-hslua-repl 0.1.2-92
haskell-hslua-typing 0.1.1-88
haskell-http-api-data 0.6-6
haskell-http-client 0.7.19-2
haskell-http-client-tls 0.3.6.4-70
haskell-http-date 0.0.11-190
haskell-http-media 0.8.1.1-66
haskell-http-types 0.12.4-86
haskell-http2 4.2.0-7
haskell-hunit 1.6.2.0-328
haskell-indexed-traversable 0.1.4-128
haskell-indexed-traversable-instances 0.1.2-77
haskell-integer-conversion 0.1.1-6
haskell-integer-logarithms 1.0.4-46
haskell-iproute 1.7.15-36
haskell-ipynb 0.2-227
haskell-isocline 1.0.9-3
haskell-jira-wiki-markup 1.5.1-74
haskell-juicypixels 3.3.9-43
haskell-lexer 1.1.2-1
haskell-libyaml 0.1.4-103
haskell-lpeg 1.0.4-79
haskell-lua 2.3.3-51
haskell-memory 0.18.0-60
haskell-mime-types 0.1.2.0-3
haskell-mmorph 1.2.1-1
haskell-monad-control 1.0.3.1-172
haskell-mono-traversable 1.0.21.0-77
haskell-network 3.1.4.0-73
haskell-network-byte-order 0.1.7-3
haskell-network-uri 2.6.4.2-85
haskell-old-locale 1.0.0.7-32
haskell-old-time 1.1.0.4-4
haskell-onetuple 0.4.2-86
haskell-only 0.1-24
haskell-optparse-applicative 0.18.1.0-77
haskell-ordered-containers 0.2.4-52
haskell-os-string 2.0.7-78
haskell-pandoc 3.1.12.3-7
haskell-pandoc-lua-engine 0.2.1.2-227
haskell-pandoc-lua-marshal 0.2.7.1-26
haskell-pandoc-server 0.1.0.5-255
haskell-pandoc-types 1.23.1-108
haskell-pem 0.2.4-338
haskell-pretty-show 1.10-18
haskell-prettyprinter 1.7.1-264
haskell-prettyprinter-ansi-terminal 1.1.3-300
haskell-primitive 0.9.1.0-16
haskell-psqueues 0.2.8.2-3
haskell-quickcheck 2.14.3-207
haskell-random 1.2.1.3-40
haskell-recv 0.1.1-23
haskell-regex-base 0.94.0.3-2
haskell-regex-tdfa 1.3.2.4-34
haskell-resourcet 1.2.6-129
haskell-safe 0.3.21-57
haskell-safe-exceptions 0.1.7.4-92
haskell-scientific 0.3.8.0-13
haskell-semialign 1.3.1-5
haskell-semigroupoids 6.0.1-49
haskell-serialise 0.2.6.1-118
haskell-servant 0.20.2-87
haskell-servant-server 0.20.2-130
haskell-sha 1.6.4.4-21
haskell-simple-sendfile 0.2.32-137
haskell-singleton-bool 0.1.7-31
haskell-skylighting 0.14.1.1-96
haskell-skylighting-core 0.14.1.1-95
haskell-skylighting-format-ansi 0.1-228
haskell-skylighting-format-blaze-html 0.1.1.3-82
haskell-skylighting-format-context 0.1.0.2-192
haskell-skylighting-format-latex 0.1-227
haskell-socks 0.6.1-290
haskell-some 1.0.6-24
haskell-sop-core 0.5.0.2-3
haskell-split 0.2.5-69
haskell-splitmix 0.1.1-2
haskell-statevar 1.2.2-4
haskell-streaming-commons 0.2.3.0-36
haskell-strict 0.5-140
haskell-syb 0.7.2.4-88
haskell-tagged 0.8.9-2
haskell-tagsoup 0.14.8-278
haskell-tasty 1.5-25
haskell-temporary 1.3-748
haskell-texmath 0.12.8.8-3
haskell-text-conversions 0.3.1.1-116
haskell-text-icu 0.8.0.5-55
haskell-text-iso8601 0.1.1-6
haskell-text-short 0.1.6-74
haskell-th-abstraction 0.5.0.0-1
haskell-th-compat 0.1.6-35
haskell-th-lift 0.8.5-1
haskell-th-lift-instances 0.1.20-103
haskell-these 1.2.1-81
haskell-time-compat 1.9.6.1-180
haskell-time-manager 0.0.1-98
